WELGOS,MALE,FEMALE,DIF
"""20000 Foot Viewer""",0.0,0.0,0.0
ADMIT / Decisions & beliefs,3.0,4.0,-1.0
ADMIT / True self & vulnerability,2.0,2.0,0.0
ADMIT / accountability,5.0,8.0,-3.0
ADMIT / healing,3.0,3.0,0.0
ADMIT / honesty,5.0,3.0,2.0
Abstainer Amazer,3.0,5.0,-2.0
Addiction AMF’r,6.0,8.0,-2.0
Adversity Adventurer,0.0,4.0,-4.0
Adversity Avenger,1.0,3.0,-2.0
Adversity Ninja,1.0,2.0,-1.0
Agape ASAP’r,0.0,0.0,0.0
Aggravation Vacationer,0.0,2.0,-2.0
Alienation Alleviationator,0.0,1.0,-1.0
Almighty Alchemizer,0.0,6.0,-6.0
Amender Amen’r,0.0,1.0,-1.0
Amender Befriender,3.0,3.0,0.0
Anger Gangster,1.0,1.0,0.0
Anger Ionizer,0.0,0.0,0.0
Anger Rinser,0.0,0.0,0.0
Anger Vacationer,0.0,0.0,0.0
Anger X’r,0.0,0.0,0.0
Angerexia,1.0,1.0,0.0
Anxiety Elixir,0.0,0.0,0.0
Anxiety Exiler,1.0,1.0,0.0
Anxiety X-terminator,0.0,1.0,-1.0
Apology Amen’r,1.0,0.0,1.0
Apology Automator,1.0,0.0,1.0
Arrogance Arrestor,3.0,0.0,3.0
Assumption Assassinator,0.0,0.0,0.0
Attitude Alchemizer,3.0,1.0,2.0
Autopilot Auto X’r,3.0,1.0,2.0
Avalanche Avenger,1.0,1.0,0.0
Baby Step Embracer,4.0,4.0,0.0
Bad Habit Butcher,3.0,3.0,0.0
Bad Influence Bulldozer,2.0,5.0,-3.0
Bad Influence Butcher,2.0,3.0,-1.0
Barefoot Believer,1.0,1.0,0.0
Behavior Savior,0.0,5.0,-5.0
Belief Superseder,2.0,6.0,-4.0
Beloved BFF’r,1.0,1.0,0.0
Bipolar Coaster,3.0,0.0,3.0
Bipolar Patroller,1.0,1.0,0.0
Bitter Quitter,3.0,0.0,3.0
Bitter Truth Taster,6.0,10.0,-4.0
Bittersweet Greeter,1.0,0.0,1.0
Black Hole Blesser,5.0,0.0,5.0
Blame Changer,2.0,0.0,2.0
Blamenesia,1.0,2.0,-1.0
Blemish Cherisher,2.0,0.0,2.0
Blemishes TBH,0.0,0.0,0.0
Blessings Bather,0.0,1.0,-1.0
Blessings Detector,1.0,1.0,0.0
Bliss Kisser,2.0,3.0,-1.0
Block Climber,1.0,0.0,1.0
Blues Buster,0.0,0.0,0.0
Blunder Blesser,2.0,3.0,-1.0
Brain Unchainer,5.0,4.0,1.0
Braverade,4.0,2.0,2.0
Breakthrough Brewer,0.0,1.0,-1.0
Brick Wall Bulldozer,1.0,0.0,1.0
Brick Wall Snowballer,0.0,0.0,0.0
Bruise Controller,0.0,0.0,0.0
CLOSET CONFESSOR / Admit addiction,7.0,4.0,3.0
CLOSET CONFESSOR / Face truths,9.0,4.0,5.0
CLOSET CONFESSOR / Inventory,4.0,5.0,-1.0
CLOSET CONFESSOR / Share & support,4.0,6.0,-2.0
COMMITMENT knitter / above all else,5.0,0.0,5.0
COMMITMENT knitter / abstinence confidence,3.0,2.0,1.0
COMMITMENT knitter / celebrate,1.0,1.0,0.0
COMMITMENT knitter / laziness & effort,5.0,4.0,1.0
COMMITMENT knitter / to others,2.0,0.0,2.0
Can’t Cutter,0.0,1.0,-1.0
Challenge Ninja,4.0,6.0,-2.0
Cold Turkey Taster,5.0,0.0,5.0
Compassion Moonlighter,1.0,0.0,1.0
Compassion Weaver,2.0,1.0,1.0
Compulsion KO’r,5.0,7.0,-2.0
Confidence Caffeinator,2.0,4.0,-2.0
Confidence Colonizer,1.0,5.0,-4.0
Conflict Connoisseur,1.0,3.0,-2.0
Conflict Evictor,0.0,0.0,0.0
Control Unfreaker,0.0,0.0,0.0
Controller Coaster,3.0,2.0,1.0
Cosmic Ray Receiver,0.0,3.0,-3.0
Courage Commander,2.0,4.0,-2.0
Craver Saver / Braver,7.0,5.0,2.0
Craverade,1.0,3.0,-2.0
Cravings 101'r,2.0,3.0,-1.0
Crisis Catapulter,0.0,4.0,-4.0
Crisis Cracker,1.0,2.0,-1.0
Daily Daisy Spotter,1.0,0.0,1.0
Damage Detective,2.0,2.0,0.0
Damage Doctor,9.0,0.0,9.0
Danger Ranger,2.0,2.0,0.0
Dead End Defier ,6.0,3.0,3.0
Dead End Deluder,6.0,1.0,5.0
Deep Down Diver,4.0,8.0,-4.0
Deluge Refuge,0.0,2.0,-2.0
Delusion Detector,10.0,0.0,10.0
Demon Dethroner ,3.0,2.0,1.0
Demon Doctor,0.0,1.0,-1.0
Demon Duper,0.0,1.0,-1.0
Demon Greeter,0.0,5.0,-5.0
Denial Denyer,8.0,1.0,7.0
Depression Debater,0.0,0.0,0.0
Depression Debugger,2.0,0.0,2.0
Depression Decrypter,2.0,0.0,2.0
Depression Dethroner,0.0,1.0,-1.0
Depression X’r,0.0,2.0,-2.0
Despair Doctor,1.0,0.0,1.0
Desperation Disputer,0.0,0.0,0.0
Destiny Autopiloter,0.0,0.0,0.0
Destiny Diviner,1.0,1.0,0.0
Dire Extinguisher,1.0,3.0,-2.0
Disaster Blaster,0.0,1.0,-1.0
Disaster Master,0.0,1.0,-1.0
Distract-shunner,1.0,0.0,1.0
Distraction Assassin,1.0,0.0,1.0
Divine Designer,0.0,2.0,-2.0
Double Wronger,1.0,0.0,1.0
Doubt Deserter,0.0,1.0,-1.0
Downer Frowner,0.0,2.0,-2.0
Ego Eavesdropper,1.0,0.0,1.0
Ego Eclipser,6.0,0.0,6.0
Ego Excuser,1.0,0.0,1.0
Ego Puffer,2.0,1.0,1.0
Ego X’r,2.0,0.0,2.0
Emotions Auditor,1.0,3.0,-2.0
Emotions Elixir,3.0,4.0,-1.0
Emotions Emancipator,2.0,1.0,1.0
Emotions Engineer,3.0,0.0,3.0
Emotions X-rayer,0.0,2.0,-2.0
Endorphin Flooder,1.0,2.0,-1.0
Ever Evolving Flower,4.0,5.0,-1.0
Excrement Expector,1.0,3.0,-2.0
