RAW,CATS,WELLGOS,FOCUS,N,GENDER
"Throughout my drinking career, instant gratification was the norm. I wanted what I wanted, and I wanted it all, right now! I have learned that almost everything I do comes in baby steps. I have to remember that when I first learned how to walk, I didn’t just wake up one day and walk perfectly, it took time. Now, as I work towards goals, taking baby steps is okay with me, for a couple of reasons. Firstly, baby steps slow me down and give me time to decide if my course of action is really what I want. Secondly, by slowing down and being deliberate, I can better master what I’m doing – instead of being a jack of all trades, master of none, I can be a master of what I set my mind to doing.","PROGRESS / start small,INNER MASTERY / take a step back,BABY STEPS / slow changes","Baby Step Embracer,Finish Line Forgetter,The Mindfulizer,Inner Greatness Greeter,WAIT AND SWITCH / Small steps",DRUGS/ALC,Paul,male
"I tried to control every aspect of my life. When things didn’t go my way, in a conversation, project, etc., I would apply a liberal amount of my willpower to make things go my way. The harder I pushed, the worse things got. By not trying to control everything and realizing what I should and shouldn’t try even attempt to, life has gotten so much easier. Letting go of control and brought a certain level of serenity to my life. Being the stage manager sucks and I never want to do it again.","CONTROL,SERENITY,FREEDOM / past & let go,TRUST,INNER / SELF / harmony & inner peace","Controller Coaster,Should Shover,Serenity Simulator,Mistruster Duster,Powerholic Healer,Inner Freedom Forager",DRUGS/ALC,Paul,male
"Thinking about drinking – the taste and feel – made me salivate as if I were a starving man looking at a perfectly cooked steak. At that point, nothing else mattered. While I still have the occasional thirst, I replace alcohol with something that has a little bite to it like adding pure lemon juice to ice water. Like a smoker, I get the same cup tipping motion and harsh sensation without all the gnarly side effects.","CRAVINGS / will power & tools,INNER POWER / Self control & willpower,WARNINGS / Relapse & tools","Pattern Interrupter,New Pattern Painter,Craver Saver / Braver,SELF HARM / Tools",DRUGS/ALC,Paul,male
"I always thought today/this weekend/this week was when I would stop drinking, or maybe I would control it better this time. I made bargains like drinking only beer or limiting the amount I would purchase, in some insane delusion that it would be different this time. When I have those idiotic glimpses of insanity now, I stop whatever it is I’m doing and recall all the things that went wrong when I lied to myself like that. I know when I am fooling myself, I just admit it better these days.","DELUSION,CONFESSION / denial,TRUTH / self honesty","Delusion Detector,Sabotage SOS’r,Insanity SOS’r,SELF HARM / Self honesty & admit,VULNERABILITY / admit",DRUGS/ALC,Paul,male
"The people around me only saw what I wanted them to see, or so I thought. My mask of being strong and capable of handling any situation was only but a funhouse mirror. Any delusion is possible when lubricated with alcohol. It’s hard to drop the fake persona and be true to myself and others. My closest friends say they have always liked the real me and enjoyed seeing glimpses of it on occasion. Now I realize that my friends prefer to see me for who I am, and there was never any reason to hide it in the first place.","CONFIDENCE / acceptance & worth,DELUSION,VULNERABILITY / Show true self","Self Esteem Elixir,Confidence Caffeinator,Inner Light Illuminator,Delusion Detector,Pride Polisher,VULNERABILITY / listen to others,RAW SOUL REVEALER / trust others",DRUGS/ALC,Paul,male
"Resigned to the fact that being poor or homeless was what fate had in store for me, drinking didn’t seem to matter, so why not continue? Drinking made my poor lot in life more bearable. Now that I don’t drink, I’m no longer homeless, poor or without a future. My fate may be ultimately in God’s hands, but I know He wants me to do better, be better and have a purpose in life.","CONFIDENCE /  hope & future,FREEDOM / past & let go,WORTHINESS / new life & future","Excuse Exterminator,Rationalization Rinser,Gratitude Grower,Ever Evolving Flower,Barefoot Believer,I-Can-ographer,Sabotage SOS’r,Dead End Deluder",DRUGS/ALC,Paul,male
"Alcohol was great for two things, suppressing my emotions and diarrhea of the mouth. I didn’t worry about my feelings as I couldn’t really feel them, and I obviously didn’t care about anyone else’s. To me, I presented “honest truths” to people without an ounce of my honest feelings to back them up. I have feelings today. I may not always like the feelings I have, but they are mine, and I get to face them and work through them instead of suppressing them. I am also more away of my actions or words and how they might impact someone else’s feelings. I’m gaining compassion for others, daily.","WORTHINESS / connections & sharing,VULNERABILITY / Connection,TRUTH / Costs,CONFESSION / damage & hurt","Emotions Engineer,Feelings Fantasizer,Compassion Moonlighter,VULNERABILITY / share emotions",DRUGS/ALC,Paul,male
"I’ve started more things than I can count and finished but a few. To say I was whimsical in my approach to doing things is an understatement. How disheartening it must have been for people to hear me say, “I promise.” I attribute my inability to finish things as part of my past need for instant gratification. I now finish what I start because of a heightened deliberacy in my actions. I first consider if it is something I truly want to pursue, then I take as many baby steps as necessary to get there.","COMMITMENTS,MOTIVATION,RESPONSIBILITY,INNER POWER / Decisions","Finish Line Forgetter,The Procrastina-shunner,Lazy Zapper,Distract-shunner,Baby Step Embracer,Inner Motor Motivator,COMMITMENT knitter / laziness & effort",DRUGS/ALC,Paul,male
"How great it was to have a friend that I could get with to whine and complain about how this person wronged me, or that person is an idiot for doing such and such. Drinking beers and talking about how I would do it better if I were in their shoes. What a blessing it was to feel so superior to everyone else. Looking back, how much harm had I caused myself emotionally and spiritually by having a friend like this? I no longer keep friends like that. I prefer to have friends who lift me up when I’m down, not help me dive further down the rabbit hole of despair.","EGO,PRIDE ,INFLUENCES,COMMUNITY / healthy relationships","Foul Weather Friender,Arrogance Arrestor,Pride Puffer,Ego X’r,Low Vibration Lifter,Bad Influence Bulldozer,RELATIONSHIPS / Healthy & supportive",DRUGS/ALC,Paul,male
"Diving headlong into whatever had caught my interest, thinking I knew exactly what needed to be done. I didn’t need to start with the basics; I was far too intelligent for doing anything I perceived as beneath me. I’ve learned to start with the basics, regardless of what I am focusing on. The outcome is better as is the satisfaction of a job well done.","COMMITMENTS,PROGRESS / start small,INNER POWER / Decisions","Symbolic Stepper,New Pattern Painter / grit & progress,Bad Habit Butcher,WAIT AND SWITCH / Small steps",DRUGS/ALC,Paul,male
