,1,2,3,4,5,6,7,8,9,10
"""WILL POWER
""","('Worthiness Whisperer', 1)","('Self awareness / confidence to admit', 1)","('Little Hint Listener', 1)","('Instinct Interrogator', 1)","('Gut Gutter', 1)","('Ego Eclipser', 1)","('Delusion Detector', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worry Washer', 0)"
ABSTINENCE,"('Abstainer Amazer', 4)","('Killer Kickstarter', 3)","('Cold Turkey Taster', 3)","('COMMITMENT knitter / abstinence confidence', 3)","('Sobriety Soulmater', 2)","('RELATIONSHIPS / Healthy & supportive', 2)","('Demon Dethroner ', 2)","('COMMITMENT knitter / above all else', 2)","('Torment Terminator', 1)","('The Procrastina-shunner', 1)"
ACCOUNTABILITY / Amends,"('Relationship Redeemer', 3)","('Amender Befriender', 3)","('Relationship Dedamager', 2)","('CLOSET CONFESSOR / Share & support', 2)","('VULNERABILITY / listen to others', 1)","('The First Amender', 1)","('Responsibility 101’r', 1)","('RAW SOUL REVEALER / past mistakes', 1)","('NEW PATTERN PAINTER / admit & amends', 1)","('Metta Motivator', 1)"
ACCOUNTABILITY / De-blame,"('ADMIT / accountability', 2)","('VULNERABILITY / admit', 1)","('Responsibility Rinser', 1)","('Responsibility 101’r', 1)","('Blamenesia', 1)","('Blame Changer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
ACCOUNTABILITY / Own up,"('ADMIT / accountability', 6)","('VULNERABILITY / mistakes & learning', 3)","('Relationship Redeemer', 3)","('My Badiator', 3)","('CLOSET CONFESSOR / Inventory', 3)","('VULNERABILITY / listen to others', 2)","('VULNERABILITY / admit', 2)","('Responsibility Rippler', 2)","('Responsibility Rebooter', 2)","('Inner Forgiverizer', 2)"
ACCOUNTABILITY / damage confess,"('Damage Doctor', 4)","('ADMIT / accountability', 4)","('Responsibility Baby Stepper', 3)","('RAW SOUL REVEALER / past mistakes', 3)","('Damage Detective', 3)","('CLOSET CONFESSOR / Face truths', 3)","('Relationship Dedamager', 2)","('Mentality Mender', 2)","('CLOSET CONFESSOR / Share & support', 2)","('CLOSET CONFESSOR / Inventory', 2)"
AGONY,"('Torment Terminator', 3)","('Whole Soul Healer', 2)","('Pain Abstainer', 2)","('Misery Miser', 2)","('Downer Frowner', 2)","('Depression Decrypter', 2)","('The Depre-shunner', 1)","('Soul Surgeon', 1)","('Self Awareness Awakener', 1)","('SELF HARM ALARMER / avoid triggers', 1)"
AMENDS,"('The First Amender', 3)","('Relationship Redeemer', 3)","('NEW PATTERN PAINTER / admit & amends', 3)","('Amender Befriender', 3)","('Wrong Righter', 2)","('Forgiveness Rusher', 2)","('ADMIT / accountability', 2)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / listen to others', 1)","('Relationship Dedamager', 1)"
ANGER,"('Venom Vaporizer', 2)","('The Defuriator', 2)","('Reactions Auditor', 2)","('Emotions Emancipator', 2)","('Angerexia', 2)","('The Mindfulizer', 1)","('Soul Synchronizer', 1)","('Soul Controller', 1)","('Self Harm Alarmer', 1)","('Scary Stepper', 1)"
ANXIETY,"('Frenzy Freezer', 3)","('Anxiety Exiler', 2)","('Void Avoider', 1)","('The Mindfulizer', 1)","('Soul-ution Finder', 1)","('Soul Surgeon', 1)","('SELF HARM / Tools', 1)","('Qualm Quitter', 1)","('Problem Soul-ver', 1)","('Placid Reflux', 1)"
APOLOGY,"('Relationship Redeemer', 1)","('Apology Amen’r', 1)","('ADMIT / honesty', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
BABY STEPS / Accomplishments,"('Symbolic Stepper', 2)","('VULNERABILITY / support from others', 1)","('Trigger Trespasser', 1)","('The Successcalator', 1)","('Sober Milestoner', 1)","('Self Esteem Elixir', 1)","('Progress Painter', 1)","('Problem Primer', 1)","('Little Win Welcomer', 1)","('Joy Sweetener', 1)"
BABY STEPS / Help & support,"('VULNERABILITY / support from others', 4)","('RELATIONSHIPS / Healthy & supportive', 3)","('Progress Pollinator', 2)","('NEW PATTERN PAINTER / support groups', 2)","('ADMIT / healing', 2)","('WAIT AND SWITCH / Small steps', 1)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / listen to others', 1)"
BABY STEPS / first steps,"(""Sobriety 101'r"", 2)","('Progress Painter', 2)","('Baby Step Embracer', 2)","('WAIT AND SWITCH / Small steps', 1)","('WAIT AND SWITCH / Progress', 1)","('The Momentumizer ', 1)","('Rainbow Hunter', 1)","('New Pattern Painter / confidence & awareness', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Inner Freedom Forager', 1)"
