,1,2,3,4,5,6,7,8,9,10
"""WILL POWER
""","('Worthiness Whisperer', 2)","(""Self Control 101'r"", 2)","('Self awareness / confidence to admit', 1)","('Scary Stepper', 1)","('New Pattern Painter / grit & progress', 1)","('Little Hint Listener', 1)","('Instinct Interrogator', 1)","('Inner Winner', 1)","('Gut Gutter', 1)","('Fear Marshall', 1)"
ABSTINENCE,"('Abstainer Amazer', 8)","('Cold Turkey Taster', 6)","('Killer Kickstarter', 5)","('COMMITMENT knitter / above all else', 5)","('Addiction AMF’r', 4)","('Sobriety Soulmater', 3)","('SELF HARM ALARMER / avoid triggers', 3)","('Inner Winner', 3)","('Demon Dethroner ', 3)","('COMMITMENT knitter / abstinence confidence', 3)"
ACCOUNTABILITY / Amends,"('Relationship Dedamager', 5)","('Amender Befriender', 4)","('Responsibility 101’r', 3)","('Relationship Redeemer', 3)","('Damage Doctor', 3)","('ADMIT / healing', 3)","('ADMIT / accountability', 3)","('Wrong Righter', 2)","('The First Amender', 2)","('CLOSET CONFESSOR / Share & support', 2)"
ACCOUNTABILITY / De-blame,"('ADMIT / accountability', 7)","('Responsibility 101’r', 4)","('The Deblamer', 3)","('Blame Changer', 3)","('VULNERABILITY / admit', 2)","('Soul Controller', 2)","('Responsibility Rippler', 2)","('CLOSET CONFESSOR / Inventory', 2)","('Blamenesia', 2)","('Victimhood Veto’r', 1)"
ACCOUNTABILITY / Own up,"('ADMIT / accountability', 12)","('CLOSET CONFESSOR / Inventory', 5)","('Responsibility Rippler', 4)","('Relationship Redeemer', 4)","('My Badiator', 4)","('Inner Forgiverizer', 4)","('Values VIP’r', 3)","('VULNERABILITY / mistakes & learning', 3)","('VULNERABILITY / listen to others', 3)","('VULNERABILITY / admit', 3)"
ACCOUNTABILITY / damage confess,"('Damage Doctor', 8)","('Relationship Dedamager', 4)","('ADMIT / accountability', 4)","('Responsibility Baby Stepper', 3)","('RAW SOUL REVEALER / past mistakes', 3)","('Damage Detective', 3)","('CLOSET CONFESSOR / Face truths', 3)","('Amender Befriender', 3)","('Responsibility Rippler', 2)","('Mentality Mender', 2)"
AGONY,"('Torment Terminator', 4)","('Whole Soul Healer', 2)","('Pain Abstainer', 2)","('Misery Miser', 2)","('Downer Frowner', 2)","('Depression Decrypter', 2)","('VULNERABILITY / Radical self honesty', 1)","('The Depre-shunner', 1)","('The Debinger', 1)","('Tender Feelings TBH’r', 1)"
AMENDS,"('Amender Befriender', 7)","('The First Amender', 4)","('Relationship Dedamager', 4)","('Damage Doctor', 4)","('Wrong Righter', 3)","('Responsibility Rippler', 3)","('Relationship Redeemer', 3)","('NEW PATTERN PAINTER / admit & amends', 3)","('Forgiveness Rusher', 3)","('ADMIT / accountability', 3)"
ANGER,"('Venom Vaporizer', 7)","('The Defuriator', 6)","('Angerexia', 3)","('Relationship Redeemer', 2)","('Reactions Auditor', 2)","('Quarrel Quasher', 2)","('Moody MF’r', 2)","('Feelings Felicitizer', 2)","('Emotions Emancipator', 2)","('Anger Rinser', 2)"
ANXIETY,"('Frenzy Freezer', 5)","('The Mindfulizer', 2)","('Nerve Ninja', 2)","('Insanity SOS’r', 2)","('Anxiety Exiler', 2)","('WAIT AND SWITCH / Small steps', 1)","('Void Avoider', 1)","('VULNERABILITY / share with god', 1)","('VULNERABILITY / share emotions', 1)","('THOUGHTS / aware & examine', 1)"
APOLOGY,"('Relationship Redeemer', 2)","('Values VIP’r', 1)","('My Badiator', 1)","('Apology Amen’r', 1)","('Amender Amen’r', 1)","('ADMIT / honesty', 1)","('frust', 0)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
BABY STEPS / Accomplishments,"('The Successcalator', 3)","('Symbolic Stepper', 3)","('Baby Step Embracer', 3)","('WAIT AND SWITCH / Small steps', 2)","('Progress Painter', 2)","('Ever Evolving Flower', 2)","('COMMITMENT knitter / celebrate', 2)","('Worthy Soul’r', 1)","('VULNERABILITY / support from others', 1)","('Trigger Trespasser', 1)"
BABY STEPS / Help & support,"('VULNERABILITY / support from others', 4)","('RELATIONSHIPS / Healthy & supportive', 3)","('Baby Step Embracer', 3)","('WAIT AND SWITCH / Small steps', 2)","('VULNERABILITY / share challenges', 2)","('VULNERABILITY / connections', 2)","('The Benefisher', 2)","('Scary Stepper', 2)","('RELATIONSHIPS / Trust & vulnerability', 2)","('Progress Pollinator', 2)"
