,1,2,3,4,5,6,7,8,9,10
"""WILL POWER
""","('WARNINGS / self aware & listen', 1)","('DELUSION', 1)","('CRAVINGS / vulnerability & learning', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / Relapse & tools', 0)","('WARNINGS / Avoid triggers', 0)"
ABSTINENCE,"('SOBRIETY / maintaining & will power', 2)","('SOBRIETY / costs & benefits', 2)","('MINDSET / no matter what', 2)","('INNER POWER / Self control & willpower', 2)","('COMMUNITY / healthy relationships', 2)","('WARNINGS / Avoid triggers', 1)","('VULNERABILITY / Connection', 1)","('TRUTH / Costs', 1)","('SOBRIETY / celebrate & progress', 1)","('SELF ESTEEM / deserve & rewards', 1)"
ACCOUNTABILITY / Amends,"('RECONCILIATON', 3)","('CONFESSION / apology & forgiveness', 3)","('AMENDS', 2)","('TRUTH / dark past', 1)","('INNER POWER / Tools', 1)","('GUILT', 1)","('COMMUNITY / listen to guidance', 1)","('ACCOUNTABILITY / damage confess', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
ACCOUNTABILITY / De-blame,"('TRUTH / self honesty', 1)","('RESPONSIBILITY', 1)","('CHANGE / beliefs', 1)","('BLAME', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / self aware & listen', 0)"
ACCOUNTABILITY / Own up,"('VULNERABILITY / learning and mistakes', 4)","('RESPONSIBILITY', 3)","('CONFESSION / apology & forgiveness', 3)","('TRUTH / Inventory', 2)","('INNER MASTERY / beliefs & awareness', 2)","('INNER / SELF / Inventory', 2)","('EXCUSES', 2)","('RECONCILIATON', 1)","('MINDSET / imperfection & acceptance', 1)","('MINDSET / Clear headed', 1)"
ACCOUNTABILITY / damage confess,"('TRUTH / dark past', 3)","('CONFESSION / damage & hurt', 3)","('HARDSHIP', 2)","('CONFIDENCE /  obstacles & challenge', 2)","('VULNERABILITY / to support my sobriety', 1)","('VULNERABILITY / learning and mistakes', 1)","('TRUTH / self honesty', 1)","('TRUTH / Inventory', 1)","('INNER POWER / Tools', 1)","('GROWTH / willing to change', 1)"
AGONY,"('RESILIENCE / reaction & behavior', 2)","('INNER MASTERY / strength', 2)","('CRAVINGS / will power & tools', 2)","('WARNINGS / Avoid triggers', 1)","('TRUTH / Costs', 1)","('TRUTH / Admit addiction', 1)","('SOBRIETY / costs & benefits', 1)","('RESILIENCE / discomfort', 1)","('NEGATIVITY', 1)","('MINDSET / tolerate discomfort', 1)"
AMENDS,"('RECONCILIATON', 3)","('CONFESSION / apology & forgiveness', 3)","('CONFESSION / damage & hurt', 2)","('COMMUNITY / listen to guidance', 2)","('ACCOUNTABILITY / Amends', 2)","('VULNERABILITY / learning and mistakes', 1)","('ACCOUNTABILITY / damage confess', 1)","('ACCOUNTABILITY / Own up', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
ANGER,"('EMOTIONS', 2)","('TRIGGERS / awareness', 1)","('SOBRIETY / maintaining & will power', 1)","('RESILIENCE / reaction & behavior', 1)","('PROGRESS / reactions & behavior', 1)","('PRIDE ', 1)","('OVERWHELM', 1)","('MOODS', 1)","('MINDSET / tolerate discomfort', 1)","('MINDSET / identify weaknesses', 1)"
ANXIETY,"('EMOTIONS', 2)","('URGES / moods & emotions', 1)","('TRUTH / self honesty', 1)","('TRIGGERS / tools & techniques', 1)","('OVERWHELM', 1)","('MOODS', 1)","('MINDSET / identify weaknesses', 1)","('MINDSET / Clear headed', 1)","('GOD / thy will', 1)","('FREEDOM / tools & strategies', 1)"
APOLOGY,"('RECONCILIATON', 1)","('CONFESSION / apology & forgiveness', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WARNINGS / self aware & listen', 0)","('WARNINGS / Relapse & tools', 0)","('WARNINGS / Avoid triggers', 0)"
