,1,2,3,4,5,6,7,8,9,10
"""WILL POWER
""","('WORTHINESS / deserve & rewards', 1)","('WARNINGS / self aware & listen', 1)","('SOBRIETY / maintaining & will power', 1)","('DELUSION', 1)","('CRAVINGS / vulnerability & learning', 1)","('CONFIDENCE / acceptance & worth', 1)","('COMMUNITY / Meetings & groups', 1)","('ABSTINENCE', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)"
ABSTINENCE,"('WARNINGS / Avoid triggers', 5)","('SOBRIETY / maintaining & will power', 5)","('SOBRIETY / costs & benefits', 3)","('INNER POWER / Self control & willpower', 3)","('TRIGGERS / awareness', 2)","('MINDSET / will power', 2)","('MINDSET / no matter what', 2)","('FREEDOM / tools & strategies', 2)","('COMMUNITY / healthy relationships', 2)","('WORTHINESS / new life & future', 1)"
ACCOUNTABILITY / Amends,"('RECONCILIATON', 6)","('CONFESSION / apology & forgiveness', 5)","('AMENDS', 4)","('CONFESSION / damage & hurt', 2)","('TRUTH / dark past', 1)","('TRUTH / Costs', 1)","('RESPONSIBILITY', 1)","('INNER POWER / Tools', 1)","('GUILT', 1)","('FREEDOM / past & let go', 1)"
ACCOUNTABILITY / De-blame,"('RESPONSIBILITY', 5)","('BLAME', 3)","('TRUTH / Inventory', 2)","('GROWTH / learning & mistakes', 2)","('CONFESSION / admit', 2)","('TRUTH / self honesty', 1)","('RECONCILIATON', 1)","('PITY ', 1)","('GROWTH / behavior & habits', 1)","('CONFESSION / damage & hurt', 1)"
ACCOUNTABILITY / Own up,"('RESPONSIBILITY', 7)","('VULNERABILITY / learning and mistakes', 4)","('CONFESSION / apology & forgiveness', 4)","('TRUTH / Inventory', 3)","('INNER / SELF / Inventory', 3)","('EXCUSES', 3)","('CONFESSION / admit', 3)","('MINDSET / imperfection & acceptance', 2)","('INNER MASTERY / beliefs & awareness', 2)","('CONFLICT', 2)"
ACCOUNTABILITY / damage confess,"('CONFESSION / damage & hurt', 6)","('AMENDS', 4)","('TRUTH / dark past', 3)","('RECONCILIATON', 2)","('HEALING', 2)","('HARDSHIP', 2)","('GROWTH / learning & mistakes', 2)","('CONFIDENCE /  obstacles & challenge', 2)","('VULNERABILITY / to support my sobriety', 1)","('VULNERABILITY / learning and mistakes', 1)"
AGONY,"('RESILIENCE / reaction & behavior', 2)","('INNER MASTERY / strength', 2)","('CRAVINGS / will power & tools', 2)","('WARNINGS / Relapse & tools', 1)","('WARNINGS / Avoid triggers', 1)","('VULNERABILITY / learning and mistakes', 1)","('TRUTH / Costs', 1)","('TRUTH / Admit addiction', 1)","('SOBRIETY / costs & benefits', 1)","('RESILIENCE / discomfort', 1)"
AMENDS,"('RECONCILIATON', 9)","('CONFESSION / damage & hurt', 5)","('CONFESSION / apology & forgiveness', 4)","('ACCOUNTABILITY / damage confess', 4)","('ACCOUNTABILITY / Amends', 4)","('RESPONSIBILITY', 2)","('COMMUNITY / listen to guidance', 2)","('ACCOUNTABILITY / Own up', 2)","('VULNERABILITY / learning and mistakes', 1)","('INNER / SELF / Inventory', 1)"
ANGER,"('CONFLICT', 4)","('RECONCILIATON', 3)","('EMOTIONS', 3)","('RESILIENCE / reaction & behavior', 2)","('PROGRESS / reactions & behavior', 2)","('NEGATIVITY', 2)","('MOODS', 2)","('MINDSET / tolerate discomfort', 2)","('MINDSET / identify weaknesses', 2)","('TRIGGERS / tools & techniques', 1)"
ANXIETY,"('OVERWHELM', 2)","('MOODS', 2)","('EMOTIONS', 2)","('URGES / moods & emotions', 1)","('TRUTH / self honesty', 1)","('TRIGGERS / tools & techniques', 1)","('THOUGHTS', 1)","('STRESS', 1)","('PROGRESS / start small', 1)","('MINDSET / tolerate discomfort', 1)"
APOLOGY,"('VALUES', 1)","('RECONCILIATON', 1)","('CONFESSION / apology & forgiveness', 1)","('ACCOUNTABILITY / Own up', 1)","('WORTHINESS / self love & acceptance', 0)","('WORTHINESS / new life & future', 0)","('WORTHINESS / help', 0)","('WORTHINESS / deserve & rewards', 0)","('WORTHINESS / connections & sharing', 0)","('WORRY', 0)"
BABY STEPS / Accomplishments,"('SOBRIETY / celebrate & progress', 2)","('GROWTH / successes', 2)","('WORTHINESS / deserve & rewards', 1)","('WARNINGS / Avoid triggers', 1)","('TRIGGERS / confidence & strength', 1)","('SELF ESTEEM / courage', 1)","('PROGRESS / start small', 1)","('PROGRESS / rewards & proud', 1)","('INNER POWER', 1)","('INNER / SELF / beliefs & insight', 1)"
