,1,2,3,4,5,6,7,8,9,10
ADMIT / Decisions & beliefs,"('Self Worth Surfer', 2)","('Belief Superseder', 2)","('Values VIP’r', 1)","('Soul Proprietor', 1)","('Sobriety Soulmater', 1)","('Self awareness / confidence to admit', 1)","('Responsibility Rebooter', 1)","('NeuroTuner', 1)","('Mentality Mender', 1)","('Killer Kickstarter', 1)"
ADMIT / True self & vulnerability,"('CLOSET CONFESSOR / Admit addiction', 2)","('The Hopenotizer', 1)","('Stigma Striker', 1)","('RAW SOUL REVEALER / trust others', 1)","('New Pattern Painter / confidence & awareness', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Label Eraser', 1)","('Inner Soul X-Rayer', 1)","('Feelings Flipper', 1)","('Denial Denyer', 1)"
ADMIT / accountability,"('CLOSET CONFESSOR / Inventory', 3)","('VULNERABILITY / mistakes & learning', 2)","('VULNERABILITY / listen to others', 2)","('Relationship Redeemer', 2)","('My Badiator', 2)","('CLOSET CONFESSOR / Face truths', 2)","('Blamenesia', 2)","('Bitter Truth Taster', 2)","('Wrong Righter', 1)","('VULNERABILITY / admit', 1)"
ADMIT / healing,"('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / Radical self honesty', 1)","('The First Amender', 1)","('Scary Stepper', 1)","('Responsibility Baby Stepper', 1)","('Responsibility 101’r', 1)","('Relationship Dedamager', 1)","('RELATIONSHIPS / Meetings & support', 1)","('RAW SOUL REVEALER / trust others', 1)"
ADMIT / honesty,"('Relationship Redeemer', 2)","('CLOSET CONFESSOR / Inventory', 2)","('Bitter Truth Taster', 2)","('Void Avoider', 1)","('Values VIP’r', 1)","('VULNERABILITY / admit', 1)","('VULNERABILITY / Radical self honesty', 1)","('The Destigmatizer', 1)","('Situation Unscrewer', 1)","('Self awareness / confidence to admit', 1)"
Abstainer Amazer,"('THOUGHTS / positivity', 2)","('Inner Power Allower', 2)","('WAIT AND SWITCH / Progress', 1)","('Values VIP’r', 1)","('The Successcalator', 1)","('The Procrastina-shunner', 1)","('Symbolic Stepper', 1)","('Sobriety Soulmater', 1)","('Sober Selfie', 1)","('Sober Milestoner', 1)"
Addiction AMF’r,"('Killer Kickstarter', 6)","('The Dynamotivator', 3)","('Inner Winner', 3)","('Inner Freedom Forager', 2)","('Dead End Defier ', 2)","('Torment Terminator', 1)","('The Debinger', 1)","('Sobriety SOB’r', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Missi-Un-Impossiblizer ', 1)"
Adversity Adventurer,"('Troubles TBH’r', 1)","('Spiritual Conquest-ador', 1)","('Sobriety SOS’r', 1)","('Scary Stepper', 1)","('Problem Primer', 1)","('Pink Cloud Clinger', 1)","('Inner Motor Motivator', 1)","('I-Can-ographer', 1)","('Excrement Expector', 1)","('Dead End Defier ', 1)"
Adversity Avenger,"('Challenge Ninja', 3)","('VULNERABILITY / reach out for help', 1)","('Trigger Auditor', 1)","('SELF HARM / Tools', 1)","('Problem Primer', 1)","('Negativity Negotiator', 1)","('Misery Doctor', 1)","('I-examiner - reactions & behavior', 1)","('Hurtle Hugger', 1)","('Fear Flusher', 1)"
Adversity Ninja,"('Void Avoider', 1)","('VULNERABILITY / mistakes & learning', 1)","('Trigger X’r', 1)","('Situation Unscrewer', 1)","('Obstacle Smithereener', 1)","('New Pattern Painter / grit & progress', 1)","('Mighty Motor Cranker', 1)","('Inner Power Allower', 1)","('Disaster Master', 1)","('Challenge Ninja', 1)"
Aggravation Vacationer,"('The Irrita-shunner', 1)","('Pink Cloud Clinger', 1)","('Moody MF’r', 1)","('Excuse Exterminator', 1)","('Avalanche Avenger', 1)","('Anger Gangster', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
Alienation Alleviationator,"('Worthy Soul’r', 1)","('Stigma Striker', 1)","('RELATIONSHIPS / Build connections & community', 1)","('Wrong Righter', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
Almighty Alchemizer,"('Thy Will Be Doner', 2)","('God Grounder', 2)","('Divine Designer', 2)","('WAIT AND SWITCH / Progress', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / mistakes & learning', 1)","('Torment Terminator', 1)","('Soul Synchronizer', 1)","('Self Harm Alarmer', 1)","('SELF HARM ALARMER / remove from situations', 1)"
Amender Amen’r,"('Damage Detective', 1)","('CLOSET CONFESSOR / Inventory', 1)","('Bitter Truth Taster', 1)","('ADMIT / accountability', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Amender Befriender,"('Relationship Redeemer', 5)","('NEW PATTERN PAINTER / admit & amends', 2)","('Wrong Righter', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / connections', 1)","('The First Amender', 1)","('RELATIONSHIPS / Healthy & supportive', 1)","('Inner Forgiverizer', 1)","('Guilt Refunder', 1)"
Anger Gangster,"('Venom Vaporizer', 1)","('The Irrita-shunner', 1)","('Pride Puffer', 1)","('Ego Puffer', 1)","('Aggravation Vacationer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Angerexia,"('The Mindfulizer', 1)","('Soul Synchronizer', 1)","('Self Harm Alarmer', 1)","('Peace Pollinator', 1)","('Feelings Felicitizer', 1)","('Emotions Emancipator', 1)","('Almighty Alchemizer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Anxiety Exiler,"('Void Avoider', 1)","('Soul-ution Finder', 1)","('Soul Surgeon', 1)","('SELF HARM / Tools', 1)","('Problem Soul-ver', 1)","('Inner Freedom Forager', 1)","('Frenzy Freezer', 1)","('Emotions Auditor', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
Anxiety X-terminator,"('Trigger Transformer', 1)","('SELF HARM / Tools', 1)","('Nerve Ninja', 1)","('Feelings Flipper', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Apology Amen’r,"('Relationship Redeemer', 1)","('ADMIT / honesty', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
Apology Automator,"('Relationship Redeemer', 1)","('My Badiator', 1)","('CLOSET CONFESSOR / Inventory', 1)","('ADMIT / honesty', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Arrogance Arrestor,"('Pride Puffer', 2)","('Ego Eclipser', 2)","('The Blessifier', 1)","('Self Worth Surfer', 1)","('RELATIONSHIPS / Healthy & supportive', 1)","('Pride Polisher', 1)","('New Pattern Painter / confidence & awareness', 1)","('Miracle Embracer', 1)","('Low Vibration Lifter', 1)","('Instinct Interrogator', 1)"
Attitude Alchemizer,"('Urge Purger', 1)","('THOUGHTS / positivity', 1)","('Stigma Stigmatizer', 1)","('Self Awareness Awakener', 1)","('RAW SOUL REVEALER / thoughts', 1)","('Quarrel Quasher', 1)","('Placid Reflux', 1)","('Negativity Negotiator', 1)","('Mentality Mender', 1)","('Label Eraser', 1)"
Autopilot Auto X’r,"('WAIT AND SWITCH / Progress', 1)","('Values VIP’r', 1)","('The Successcalator', 1)","('The Dynamotivator', 1)","('Tender Feelings TBH’r', 1)","('SELF HARM / Warnings', 1)","('RAW SOUL REVEALER / emotions & urges', 1)","('Lazy Zapper', 1)","('Feelings Felicitizer', 1)","('Dead End Deluder', 1)"
Avalanche Avenger,"('WAIT AND SWITCH / Small steps', 1)","('Pink Cloud Clinger', 1)","('Moody MF’r', 1)","('Excuse Exterminator', 1)","('Cold Turkey Taster', 1)","('Braverade', 1)","('Bitter Quitter', 1)","('Aggravation Vacationer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
Baby Step Embracer,"('WAIT AND SWITCH / Small steps', 4)","('Progress Painter', 3)","('Sober Milestoner', 2)","('Inner Motor Motivator', 2)","('Finish Line Forgetter', 2)","('WAIT AND SWITCH / Progress', 1)","('The Procrastina-shunner', 1)","('The Momentumizer ', 1)","('The Mindfulizer', 1)","('THOUGHTS / aware & examine', 1)"
Bad Habit Butcher,"('New Pattern Painter / grit & progress', 4)","('WAIT AND SWITCH / Progress', 2)","('Behavior Savior', 2)","('Worthy Soul’r', 1)","('WAIT AND SWITCH / Small steps', 1)","('Values VIP’r', 1)","('The Successcalator', 1)","('Symbolic Stepper', 1)","('Soul Practitioner', 1)","('Self awareness / habits & behavior', 1)"
Bad Influence Bulldozer,"('RELATIONSHIPS / Healthy & supportive', 3)","('Foul Weather Friender', 3)","(""Self Control 101'r"", 2)","('Void Avoider', 1)","('Trigger X’r', 1)","('Torment Terminator', 1)","(""Sobriety 101'r"", 1)","('Sober Selfie', 1)","('Self Awareness Awakener', 1)","('SELF HARM ALARMER / distance from people', 1)"
Bad Influence Butcher,"('RELATIONSHIPS / Healthy & supportive', 2)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / listen to others', 1)","('Urge Auditor', 1)","(""Triggers 101'r"", 1)","(""Self Control 101'r"", 1)","('SELF HARM ALARMER / distance from people', 1)","('Relationship Redeemer', 1)","('Placid Reflux', 1)","('Perspective Detective', 1)"
Barefoot Believer,"('Sabotage SOS’r', 1)","('SELF HARM / Warnings', 1)","('Rationalization Rinser', 1)","('I-Can-ographer', 1)","('Gratitude Guru', 1)","('Gratitude Grower', 1)","('Grace Moonlighter', 1)","('Faith Flooder', 1)","('Excuse Exterminator', 1)","('Ever Evolving Flower', 1)"
Behavior Savior,"('Bad Habit Butcher', 2)","('Worthy Soul’r', 1)","('VULNERABILITY / Radical self honesty', 1)","('The Successcalator', 1)","('Symbolic Stepper', 1)","('Soul Practitioner', 1)","('Sobriety Soulmater', 1)","('Sober Milestoner', 1)","('Placid Reflux', 1)","('Opportunity Oompher', 1)"
Belief Superseder,"('ADMIT / Decisions & beliefs', 2)","('Worthy Soul’r', 1)","('Whole Soul Healer', 1)","('VULNERABILITY / share with god', 1)","('VULNERABILITY / mistakes & learning', 1)","('THOUGHTS / positivity', 1)","('Soul Survivor', 1)","('New Pattern Painter / grit & progress', 1)","('Mentality Mender', 1)","('Love Sweetener', 1)"
Beloved BFF’r,"('The Benefisher', 1)","('RELATIONSHIPS / Healthy & supportive', 1)","('Inner Sun Shiner', 1)","('Higher Power Invoker', 1)","('Grace Moonlighter', 1)","('Faith Flooder', 1)","('Cosmic Ray Receiver', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Bipolar Coaster,"('Temperance Tester', 1)","(""Sobriety 101'r"", 1)","('Rainbow Hunter', 1)","('New Pattern Painter / grit & progress', 1)","('Moody MF’r', 1)","('Just One Justifier', 1)","('Insanity SOS’r', 1)","('Inner Freedom Forager', 1)","('Challenge Ninja', 1)","('Wrong Righter', 0)"
Bipolar Patroller,"('Relationship Redeemer', 1)","('RELATIONSHIPS / Trust & vulnerability', 1)","('Moody MF’r', 1)","('Manic Moment Forgiver', 1)","('Inner Forgiverizer', 1)","('Feelings Felicitizer', 1)","('Emotions X-rayer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Bitter Quitter,"('WAIT AND SWITCH / Small steps', 2)","('Braverade', 2)","('Sobriety Soulmater', 1)","('Moonlight Motivator', 1)","('Inner Anointer', 1)","('Fear Flusher', 1)","('Cold Turkey Taster', 1)","('Avalanche Avenger', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
Bitter Truth Taster,"('CLOSET CONFESSOR / Inventory', 4)","('CLOSET CONFESSOR / Face truths', 4)","('Lost Benefit Lamenter', 3)","('VULNERABILITY / Radical self honesty', 2)","('Self awareness / confidence to admit', 2)","('RAW SOUL REVEALER / past mistakes', 2)","('I-examiner - motivations', 2)","('Dead End Defier ', 2)","('CLOSET CONFESSOR / Share & support', 2)","('ADMIT / honesty', 2)"
Bittersweet Greeter,"('Sabotage SOS’r', 1)","('Rationalization Rinser', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)","('WAIT AND SWITCH / Progress', 0)"
Black Hole Blesser,"('Dead End Defier ', 2)","('Torment Terminator', 1)","('The Blessifier', 1)","('Soul Survivor', 1)","('Self Awareness Awakener', 1)","('SELF HARM / Warnings', 1)","('RAW SOUL REVEALER / worthiness', 1)","('RAW SOUL REVEALER / costs', 1)","('Lost Benefit Lamenter', 1)","('Lack Hacker', 1)"
Blame Changer,"('Victim Vanquisher', 1)","('Responsibility Rinser', 1)","('Responsibility Rebooter', 1)","('ADMIT / accountability', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)"
Blamenesia,"('VULNERABILITY / admit', 2)","('ADMIT / accountability', 2)","('Responsibility Rippler', 1)","('Responsibility 101’r', 1)","('Mentality Mender', 1)","('Inner Soul X-Rayer', 1)","('Inner Forgiverizer', 1)","('CLOSET CONFESSOR / Face truths', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)"
Blemish Cherisher,"('Soul Tuner', 1)","('Inner Light Illuminator', 1)","('Inner I-Opener', 1)","('Crisis Cracker', 1)","('CLOSET CONFESSOR / Inventory', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Blessings Bather,"('Serenity Soulmater', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Miracle Embracer', 1)","('Infinity Infuser', 1)","('Cosmic Ray Receiver', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)"
Blessings Detector,"('WAIT AND SWITCH / Progress', 1)","(""Sobriety 101'r"", 1)","('Rainbow Hunter', 1)","('NEW LIFE / POSSIBILITIES', 1)","('Moonlight Moonshooter', 1)","('Journey Jazzer', 1)","('Excrement Expector', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)"
Bliss Kisser,"('NEW LIFE / POSSIBILITIES', 2)","('God Grounder', 2)","('Soul-vation ', 1)","('Sobriety Soulmater', 1)","('New Pattern Painter', 1)","('Misery Doctor', 1)","('Memory Rinser', 1)","('Love Flooder', 1)","('Lost Benefit Lamenter', 1)","('Inner Wealth Welcomer', 1)"
Block Climber,"('RELATIONSHIPS / Healthy & supportive', 1)","('Misery Doctor', 1)","('Brick Wall Bulldozer', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Blunder Blesser,"('Perspective Detective', 2)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / mistakes & learning', 1)","('Urge Namerizer', 1)","('Troubles TBH’r', 1)","(""Triggers 101'r"", 1)","('The Flawbreaker', 1)","('Spiritual Conquest-ador', 1)","('SELF HARM / Self honesty & admit', 1)","('Opportunity Oompher', 1)"
Brain Unchainer,"('Thought Auditor', 3)","('New Pattern Painter / confidence & awareness', 2)","('Mentality Mender', 2)","('Damage Doctor', 2)","('Torment Terminator', 1)","('The De-stress-calator', 1)","('THOUGHTS / positivity', 1)","('THOUGHTS / aware & examine', 1)","('Self Awareness Awakener', 1)","('SELF HARM / Self honesty & admit', 1)"
Braverade,"('Fear Flusher', 2)","('Bitter Quitter', 2)","('WAIT AND SWITCH / Small steps', 1)","('Trigger Transformer', 1)","('The Dynamotivator', 1)","('THOUGHTS / positivity', 1)","('Scary Stepper', 1)","('RELATIONSHIPS / Healthy & supportive', 1)","('Progress Pollinator', 1)","('NEW PATTERN PAINTER / share & learn', 1)"
Breakthrough Brewer,"('Dead End Defier ', 1)","('Adversity Adventurer', 1)","('Addiction AMF’r', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
Brick Wall Bulldozer,"('RELATIONSHIPS / Healthy & supportive', 1)","('Misery Doctor', 1)","('Block Climber', 1)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Whole Soul Healer', 0)","('Wellectricity Generator', 0)","('WAIT AND SWITCH / Small steps', 0)"
CLOSET CONFESSOR / Admit addiction,"('Denial Denyer', 3)","('VULNERABILITY / mistakes & learning', 2)","('RELATIONSHIPS / Meetings & support', 2)","('ADMIT / True self & vulnerability', 2)","('Worthy Soul’r', 1)","('Whole Soul Healer', 1)","('The Dynamotivator', 1)","('The Destigmatizer', 1)","('Stigma Stigmatizer', 1)","('Relationship Redeemer', 1)"
CLOSET CONFESSOR / Face truths,"('Bitter Truth Taster', 4)","('VULNERABILITY / Radical self honesty', 2)","('Relationship Dedamager', 2)","('ADMIT / accountability', 2)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / listen to others', 1)","('The First Amender', 1)","('Soul-vation ', 1)","('Soul-itude ', 1)"
CLOSET CONFESSOR / Inventory,"('Bitter Truth Taster', 4)","('ADMIT / accountability', 3)","('My Badiator', 2)","('ADMIT / honesty', 2)","('VULNERABILITY / mistakes & learning', 1)","('VULNERABILITY / admit', 1)","('VULNERABILITY / Radical self honesty', 1)","('The Flawbreaker', 1)","('Soul Tuner', 1)","('Responsibility Baby Stepper', 1)"
CLOSET CONFESSOR / Share & support,"('RAW SOUL REVEALER / past mistakes', 2)","('Damage Doctor', 2)","('Bitter Truth Taster', 2)","('WAIT AND SWITCH / Emotions', 1)","('VULNERABILITY / support from others', 1)","('VULNERABILITY / share relapse ', 1)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / Radical self honesty', 1)"
