,1,2,3,4,5,6,7,8,9,10
"""20000 Foot Viewer""","('Serenity Soulmater', 1)","('Placid Reflux', 1)","('Peace Sweetener', 1)","('Destiny Autopiloter', 1)","('frust', 0)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)","('Worry POW’r', 0)"
ADMIT / Decisions & beliefs,"('I-Examiner', 3)","('Self awareness / confidence to admit', 2)","('Self Worth Surfer', 2)","('Mentality Mender', 2)","('I-examiner - motivations', 2)","('CLOSET CONFESSOR / Inventory', 2)","('Belief Superseder', 2)","('Values VIP’r', 1)","('The Control-aholic', 1)","('Soul Proprietor', 1)"
ADMIT / True self & vulnerability,"('CLOSET CONFESSOR / Admit addiction', 4)","('VULNERABILITY / admit', 3)","('Denial Denyer', 2)","('Worthiness Whisperer', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / connections', 1)","('The Hopenotizer', 1)","('Stigma Striker', 1)","('Scary Stepper', 1)","('RELATIONSHIPS / Build connections & community', 1)"
ADMIT / accountability,"('CLOSET CONFESSOR / Inventory', 6)","('Responsibility 101’r', 5)","('CLOSET CONFESSOR / Face truths', 4)","('Blame Changer', 4)","('Wrong Righter', 3)","('VULNERABILITY / mistakes & learning', 3)","('The Deblamer', 3)","('Responsibility Rippler', 3)","('Relationship Redeemer', 3)","('Blamenesia', 3)"
ADMIT / healing,"('Relationship Dedamager', 3)","('Damage Doctor', 3)","('CLOSET CONFESSOR / Admit addiction', 3)","('The First Amender', 2)","('VULNERABILITY / share challenges', 1)","('VULNERABILITY / reach out for help', 1)","('VULNERABILITY / listen to others', 1)","('VULNERABILITY / admit', 1)","('VULNERABILITY / Radical self honesty', 1)","('So Sorry Soother', 1)"
ADMIT / honesty,"('Bitter Truth Taster', 5)","('VULNERABILITY / admit', 4)","('CLOSET CONFESSOR / Admit addiction', 4)","('CLOSET CONFESSOR / Inventory', 3)","('VULNERABILITY / support from others', 2)","('VULNERABILITY / share challenges', 2)","('VULNERABILITY / Radical self honesty', 2)","('Relationship Redeemer', 2)","('RAW SOUL REVEALER / past mistakes', 2)","('Pride Puffer', 2)"
Abstainer Amazer,"('Inner Winner', 4)","('Inner Power Allower', 4)","('Worthy Soul’r', 2)","('WAIT AND SWITCH / Progress', 2)","('Trigger X’r', 2)","('The Successcalator', 2)","('THOUGHTS / positivity', 2)","('Mighty Motor Cranker', 2)","('I-Can-ographer', 2)","('Demon Dethroner ', 2)"
Addiction AMF’r,"('Killer Kickstarter', 9)","('The Dynamotivator', 5)","('Inner Winner', 4)","('COMMITMENT knitter / above all else', 4)","('Torment Terminator', 2)","('Lost Benefit Lamenter', 2)","('Inner Power Allower', 2)","('Inner Freedom Forager', 2)","('I-Can-ographer', 2)","('Grave Trigger', 2)"
Adversity Adventurer,"('Addiction AMF’r', 2)","('Troubles TBH’r', 1)","('The Dynamotivator', 1)","('Spiritual Conquest-ador', 1)","('Sobriety SOS’r', 1)","('Scary Stepper', 1)","('Problem Primer', 1)","('Pink Cloud Clinger', 1)","('Opportunity Oompher', 1)","('Obstacle Outfoxer', 1)"
Adversity Avenger,"('Challenge Ninja', 4)","('Problem Primer', 2)","('Victim Vanquisher', 1)","('VULNERABILITY / reach out for help', 1)","('Urge Purger', 1)","('Troubles TBH’r', 1)","('Trigger Auditor', 1)","('Temperance Tester', 1)","('Soul-vation ', 1)","('SELF HARM / Tools', 1)"
Adversity Ninja,"('New Pattern Painter / grit & progress', 2)","('Mighty Motor Cranker', 2)","('Void Avoider', 1)","('VULNERABILITY / mistakes & learning', 1)","('Trouble Elixir', 1)","('Trigger X’r', 1)","('The Momentumizer ', 1)","('Temperance Tester', 1)","('Situation Unscrewer', 1)","('Progress Painter', 1)"
Agape ASAP’r,"('Higher Power Invoker', 1)","('Gratitude Goosebumper', 1)","('Grace Moonlighter', 1)","('God Grounder', 1)","('Faith Fertilizer', 1)","('frust', 0)","('Wrong Righter', 0)","('Worthy Soul’r', 0)","('Worthiness Whisperer', 0)","('Worry Washer', 0)"
