,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ADMIT / Decisions & beliefs,"(('I', 'PRP'), 56)","(('my', 'PRP$'), 35)","(('was', 'VBD'), 19)","(('it', 'PRP'), 16)","(('me', 'PRP'), 14)","(('myself', 'PRP'), 12)","(('addiction', 'NN'), 11)","(('is', 'VBZ'), 9)","(('had', 'VBD'), 7)","(('are', 'VBP'), 7)","(('you', 'PRP'), 7)","(('be', 'VB'), 6)","(('It', 'PRP'), 6)","(('life', 'NN'), 6)","(('not', 'RB'), 6)","(('them', 'PRP'), 6)","(('go', 'VB'), 5)","(('friends', 'NNS'), 5)","(('only', 'RB'), 5)","(('they', 'PRP'), 5)"
ADMIT / True self & vulnerability,"(('I', 'PRP'), 54)","(('was', 'VBD'), 14)","(('my', 'PRP$'), 10)","((""n't"", 'RB'), 10)","(('it', 'PRP'), 8)","(('did', 'VBD'), 6)","(('am', 'VBP'), 5)","((""'d"", 'MD'), 5)","(('disguise', 'NN'), 5)","(('had', 'VBD'), 4)","(('life', 'NN'), 4)","(('now', 'RB'), 4)","(('could', 'MD'), 4)","(('years', 'NNS'), 4)","(('feelings', 'NNS'), 4)","(('even', 'RB'), 4)","(('me', 'PRP'), 4)","(('addict', 'NN'), 4)","(('is', 'VBZ'), 4)","(('myself', 'PRP'), 4)"
ADMIT / accountability,"(('I', 'PRP'), 133)","(('my', 'PRP$'), 54)","(('me', 'PRP'), 27)","(('it', 'PRP'), 26)","(('was', 'VBD'), 21)","(('is', 'VBZ'), 18)","(('not', 'RB'), 15)","((""'d"", 'MD'), 13)","(('had', 'VBD'), 12)","(('It', 'PRP'), 9)","(('myself', 'PRP'), 9)","(('damage', 'NN'), 9)","(('did', 'VBD'), 9)","(('be', 'VB'), 8)","(('could', 'MD'), 8)","(('someone', 'NN'), 8)","(('accept', 'VB'), 8)","(('have', 'VBP'), 8)","((""n't"", 'RB'), 8)","(('them', 'PRP'), 8)"
ADMIT / healing,"(('I', 'PRP'), 79)","(('was', 'VBD'), 25)","(('my', 'PRP$'), 16)","((""n't"", 'RB'), 14)","(('had', 'VBD'), 10)","(('me', 'PRP'), 10)","(('it', 'PRP'), 9)","(('did', 'VBD'), 8)","(('addiction', 'NN'), 8)","(('life', 'NN'), 7)","(('could', 'MD'), 6)","(('got', 'VBD'), 5)","(('accept', 'VB'), 5)","(('who', 'WP'), 5)","(('hardships', 'NNS'), 5)","(('lot', 'NN'), 5)","(('what', 'WP'), 4)","(('friends', 'NNS'), 4)","(('It', 'PRP'), 4)","(('have', 'VB'), 4)"
ADMIT / honesty,"(('I', 'PRP'), 41)","(('my', 'PRP$'), 16)","(('it', 'PRP'), 15)","(('is', 'VBZ'), 11)","(('had', 'VBD'), 9)","(('was', 'VBD'), 5)","(('be', 'VB'), 5)","(('not', 'RB'), 5)","(('It', 'PRP'), 5)","(('honesty', 'NN'), 4)","(('addict', 'NN'), 4)","(('always', 'RB'), 4)","(('have', 'VBP'), 4)","(('well', 'RB'), 3)","(('life', 'NN'), 3)","(('myself', 'PRP'), 3)","(('what', 'WP'), 3)","((""'s"", 'VBZ'), 3)","(('recovery', 'NN'), 3)","(('that', 'WDT'), 3)"
Abstainer Amazer,"(('I', 'PRP'), 96)","(('my', 'PRP$'), 44)","(('was', 'VBD'), 22)","(('am', 'VBP'), 17)","(('me', 'PRP'), 16)","(('is', 'VBZ'), 12)","(('have', 'VBP'), 11)","(('myself', 'PRP'), 10)","(('not', 'RB'), 10)","(('things', 'NNS'), 9)","(('life', 'NN'), 8)","(('that', 'WDT'), 8)","(('be', 'VB'), 7)","(('able', 'JJ'), 7)","(('It', 'PRP'), 7)","(('it', 'PRP'), 7)","(('abstinence', 'NN'), 6)","(('thoughts', 'NNS'), 6)","(('important', 'JJ'), 6)","(('them', 'PRP'), 6)"
Addiction AMF＊r,"(('I', 'PRP'), 110)","(('my', 'PRP$'), 36)","(('was', 'VBD'), 21)","(('is', 'VBZ'), 20)","(('am', 'VBP'), 19)","(('me', 'PRP'), 17)","(('it', 'PRP'), 14)","(('addiction', 'NN'), 13)","(('had', 'VBD'), 12)","(('have', 'VBP'), 10)","(('not', 'RB'), 10)","(('up', 'RP'), 9)","(('that', 'WDT'), 9)","(('who', 'WP'), 9)","(('never', 'RB'), 8)","(('you', 'PRP'), 8)","(('just', 'RB'), 8)","(('one', 'CD'), 8)","(('what', 'WP'), 7)","(('when', 'WRB'), 7)"
Adversity Adventurer,"(('I', 'PRP'), 26)","(('my', 'PRP$'), 10)","(('will', 'MD'), 8)","(('is', 'VBZ'), 7)","(('are', 'VBP'), 6)","(('not', 'RB'), 6)","(('am', 'VBP'), 5)","(('it', 'PRP'), 5)","(('end', 'NN'), 4)","(('dead', 'JJ'), 4)","(('new', 'JJ'), 4)","(('life', 'NN'), 3)","(('they', 'PRP'), 3)","(('myself', 'PRP'), 3)","(('back', 'RB'), 3)","(('you', 'PRP'), 3)","(('Today', 'NN'), 3)","(('shit', 'NN'), 3)","(('change', 'NN'), 2)","(('go', 'VB'), 2)"
Adversity Avenger,"(('I', 'PRP'), 47)","(('my', 'PRP$'), 15)","(('is', 'VBZ'), 14)","(('have', 'VBP'), 9)","(('me', 'PRP'), 9)","(('it', 'PRP'), 9)","(('not', 'RB'), 8)","(('life', 'NN'), 7)","(('be', 'VB'), 7)","(('one', 'CD'), 6)","(('challenge', 'NN'), 5)","(('recovery', 'NN'), 5)","(('that', 'WDT'), 5)","(('am', 'VBP'), 5)","(('will', 'MD'), 4)","(('room', 'NN'), 4)","(('challenges', 'NNS'), 4)","(('up', 'RP'), 3)","(('back', 'RB'), 3)","(('how', 'WRB'), 3)"
Adversity Ninja,"(('I', 'PRP'), 24)","(('me', 'PRP'), 10)","(('are', 'VBP'), 6)","(('my', 'PRP$'), 5)","(('it', 'PRP'), 5)","(('had', 'VBD'), 4)","(('always', 'RB'), 4)","(('obstacles', 'NNS'), 4)","(('is', 'VBZ'), 4)","(('that', 'WDT'), 4)","(('not', 'RB'), 4)","(('am', 'VBP'), 4)","(('addiction', 'NN'), 4)","(('life', 'NN'), 3)","(('they', 'PRP'), 3)","(('when', 'WRB'), 3)","(('learn', 'VB'), 3)","(('recovery', 'NN'), 3)","(('was', 'VBD'), 3)","(('can', 'MD'), 3)"
Aggravation Vacationer,"(('I', 'PRP'), 13)","(('my', 'PRP$'), 5)","(('me', 'PRP'), 5)","(('anger', 'NN'), 4)","(('It', 'PRP'), 3)","(('is', 'VBZ'), 3)","(('how', 'WRB'), 3)","(('others', 'NNS'), 3)","(('it', 'PRP'), 3)","(('more', 'RBR'), 3)","(('get', 'VBP'), 2)","(('not', 'RB'), 2)","(('feel', 'VBP'), 2)","(('am', 'VBP'), 2)","(('life', 'NN'), 2)","(('kind', 'NN'), 2)","(('be', 'VB'), 2)","(('use', 'VB'), 2)","(('When', 'WRB'), 2)","(('enabled', 'VBD'), 1)"
