,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ADMIT / Decisions & beliefs,"(('addiction', 'NN'), 11)","(('life', 'NN'), 6)","(('friends', 'NNS'), 5)","(('drugs', 'NNS'), 5)","(('impulses', 'NNS'), 5)","(('When', 'WRB'), 4)","(('mindset', 'NN'), 4)","(('decision', 'NN'), 4)","(('that', 'WDT'), 4)","(('how', 'WRB'), 4)","(('world', 'NN'), 3)","(('beliefs', 'NNS'), 3)","(('up', 'RP'), 3)","(('true', 'JJ'), 3)","(('idea', 'NN'), 3)","(('being', 'VBG'), 3)","(('old', 'JJ'), 3)","(('rules', 'NNS'), 3)","(('good', 'JJ'), 3)","(('sense', 'NN'), 3)"
ADMIT / True self & vulnerability,"(('disguise', 'NN'), 5)","(('life', 'NN'), 4)","(('years', 'NNS'), 4)","(('feelings', 'NNS'), 4)","(('addict', 'NN'), 4)","(('things', 'NNS'), 3)","(('what', 'WP'), 3)","(('hard', 'JJ'), 3)","(('been', 'VBN'), 3)","(('lying', 'VBG'), 3)","(('much', 'JJ'), 2)","(('drugs', 'NNS'), 2)","(('first', 'JJ'), 2)","(('problem', 'NN'), 2)","(('when', 'WRB'), 2)","(('happy', 'JJ'), 2)","(('time', 'NN'), 2)","(('better', 'JJR'), 2)","(('how', 'WRB'), 2)","(('dependency', 'NN'), 2)"
ADMIT / accountability,"(('damage', 'NN'), 9)","(('someone', 'NN'), 8)","(('responsibility', 'NN'), 8)","(('mistakes', 'NNS'), 8)","(('things', 'NNS'), 7)","(('blame', 'NN'), 7)","(('using', 'VBG'), 7)","(('addiction', 'NN'), 7)","(('when', 'WRB'), 6)","(('recovery', 'NN'), 6)","(('something', 'NN'), 6)","(('life', 'NN'), 5)","(('making', 'VBG'), 5)","(('friends', 'NNS'), 5)","(('excuses', 'NNS'), 5)","(('amends', 'NNS'), 5)","(('others', 'NNS'), 5)","(('problem', 'NN'), 5)","(('fault', 'NN'), 4)","(('years', 'NNS'), 4)"
ADMIT / healing,"(('addiction', 'NN'), 8)","(('life', 'NN'), 7)","(('who', 'WP'), 5)","(('hardships', 'NNS'), 5)","(('lot', 'NN'), 5)","(('discomfort', 'NN'), 4)","(('what', 'WP'), 4)","(('friends', 'NNS'), 4)","(('been', 'VBN'), 4)","(('food', 'NN'), 4)","(('building', 'NN'), 4)","(('label', 'NN'), 3)","(('addicted', 'VBN'), 3)","(('junkie', 'NN'), 3)","(('recovery', 'NN'), 3)","(('amends', 'NNS'), 3)","(('problems', 'NNS'), 3)","(('people', 'NNS'), 3)","(('first', 'JJ'), 3)","(('meeting', 'NN'), 3)"
ADMIT / honesty,"(('honesty', 'NN'), 4)","(('addict', 'NN'), 4)","(('life', 'NN'), 3)","(('been', 'VBN'), 3)","(('what', 'WP'), 3)","(('recovery', 'NN'), 3)","(('people', 'NNS'), 3)","(('own', 'JJ'), 3)","(('that', 'WDT'), 3)","(('anything', 'NN'), 2)","(('being', 'VBG'), 2)","(('apologies', 'NNS'), 2)","(('admitting', 'VBG'), 2)","(('secrets', 'NNS'), 2)","(('when', 'WRB'), 2)","(('panic', 'JJ'), 2)","(('addicted', 'VBN'), 2)","(('inventory', 'NN'), 2)","(('drug', 'NN'), 2)","(('problem', 'NN'), 2)"
Abstainer Amazer,"(('things', 'NNS'), 9)","(('life', 'NN'), 8)","(('that', 'WDT'), 8)","(('able', 'JJ'), 7)","(('abstinence', 'NN'), 6)","(('important', 'JJ'), 6)","(('drugs', 'NNS'), 6)","(('thoughts', 'NNS'), 6)","(('I＊m', 'NNP'), 5)","(('what', 'WP'), 5)","(('When', 'WRB'), 5)","(('recovery', 'NN'), 5)","(('clean', 'JJ'), 5)","(('negative', 'JJ'), 5)","(('way', 'NN'), 5)","(('situations', 'NNS'), 5)","(('when', 'WRB'), 4)","(('reward', 'NN'), 4)","(('times', 'NNS'), 4)","(('Today', 'NN'), 4)"
Addiction AMF＊r,"(('addiction', 'NN'), 13)","(('up', 'RP'), 9)","(('who', 'WP'), 9)","(('that', 'WDT'), 9)","(('one', 'CD'), 8)","(('what', 'WP'), 7)","(('when', 'WRB'), 7)","(('drug', 'NN'), 7)","(('life', 'NN'), 7)","(('end', 'NN'), 6)","(('new', 'JJ'), 5)","(('apartment', 'NN'), 5)","(('addict', 'NN'), 5)","(('day', 'NN'), 5)","(('been', 'VBN'), 5)","(('drugs', 'NNS'), 5)","(('where', 'WRB'), 5)","(('Today', 'NN'), 5)","(('going', 'VBG'), 4)","(('problem', 'NN'), 4)"
Adversity Adventurer,"(('new', 'JJ'), 4)","(('end', 'NN'), 4)","(('dead', 'JJ'), 4)","(('life', 'NN'), 3)","(('Today', 'NN'), 3)","(('shit', 'NN'), 3)","(('changes', 'NNS'), 2)","(('able', 'JJ'), 2)","(('change', 'NN'), 2)","(('least', 'JJS'), 2)","(('wave', 'NN'), 2)","(('direction', 'NN'), 2)","(('When', 'WRB'), 2)","(('recovery', 'NN'), 2)","(('moments', 'NNS'), 2)","(('that', 'WDT'), 2)","(('step', 'NN'), 2)","(('temptations', 'NNS'), 2)","(('beginning', 'VBG'), 1)","(('final', 'JJ'), 1)"
Adversity Avenger,"(('life', 'NN'), 7)","(('one', 'CD'), 6)","(('challenge', 'NN'), 5)","(('recovery', 'NN'), 5)","(('that', 'WDT'), 5)","(('room', 'NN'), 4)","(('challenges', 'NNS'), 4)","(('up', 'RP'), 3)","(('problems', 'NNS'), 3)","(('how', 'WRB'), 3)","(('been', 'VBN'), 3)","(('lot', 'NN'), 3)","(('out', 'RP'), 3)","(('comfortable', 'JJ'), 3)","(('there', 'EX'), 3)","(('more', 'RBR'), 3)","(('being', 'VBG'), 2)","(('doing', 'VBG'), 2)","(('God', 'NNP'), 2)","(('setbacks', 'NNS'), 2)"
Adversity Ninja,"(('addiction', 'NN'), 4)","(('obstacles', 'NNS'), 4)","(('that', 'WDT'), 4)","(('life', 'NN'), 3)","(('when', 'WRB'), 3)","(('recovery', 'NN'), 3)","(('challenges', 'NNS'), 3)","(('triggers', 'NNS'), 2)","(('Obstacles', 'NNS'), 2)","(('reason', 'NN'), 2)","(('what', 'WP'), 2)","(('things', 'NNS'), 2)","(('lessons', 'NNS'), 2)","(('great', 'JJ'), 2)","(('other', 'JJ'), 2)","(('hard', 'JJ'), 2)","(('stress', 'NN'), 2)","(('tolerating', 'VBG'), 2)","(('trigger', 'NN'), 2)","(('been', 'VBN'), 2)"
Aggravation Vacationer,"(('anger', 'NN'), 4)","(('how', 'WRB'), 3)","(('others', 'NNS'), 3)","(('more', 'RBR'), 3)","(('life', 'NN'), 2)","(('kind', 'NN'), 2)","(('When', 'WRB'), 2)","(('frustrated', 'VBN'), 1)","(('bird', 'NN'), 1)","(('out', 'RP'), 1)","(('choice', 'NN'), 1)","(('creative', 'JJ'), 1)","(('shooting', 'VBG'), 1)","(('healthy', 'JJ'), 1)","(('ok', 'NN'), 1)","(('why', 'WRB'), 1)","(('disease', 'NN'), 1)","(('Coming', 'VBG'), 1)","(('drugs/alcohol', 'NN'), 1)","(('hard', 'JJ'), 1)"
Alienation Alleviationator,"(('who', 'WP'), 2)","(('what', 'WP'), 2)","(('addict', 'NN'), 1)","(('doesn＊t', 'JJ'), 1)","(('judge', 'NN'), 1)","(('people', 'NNS'), 1)","(('surrounding', 'VBG'), 1)","(('drug', 'NN'), 1)","(('embarrassing', 'VBG'), 1)","(('first', 'JJ'), 1)","(('feelings', 'NNS'), 1)","(('Being', 'VBG'), 1)","(('person', 'NN'), 1)","(('world', 'NN'), 1)","(('hurt', 'NN'), 1)","(('addicts', 'NNS'), 1)","(('When', 'WRB'), 1)","(('stigma', 'NN'), 1)","(('others', 'NNS'), 1)",
