,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"""WILL POWER
""","(('I＊m', 'NNP'), 3)","(('better', 'JJR'), 2)","(('matter', 'NN'), 1)","(('way', 'NN'), 1)","(('how', 'WRB'), 1)","(('deaf', 'NN'), 1)","(('listening', 'NN'), 1)","(('tough', 'JJ'), 1)","(('listener', 'NN'), 1)","(('what', 'WP'), 1)","(('gut', 'NN'), 1)","(('part', 'NN'), 1)","(('willpower', 'VBN'), 1)","(('mastered', 'JJ'), 1)","(('ready', 'NN'), 1)","(('more', 'JJR'), 1)","(('ego', 'NN'), 1)","(('more', 'RBR'), 1)","(('little', 'JJ'), 1)","(('guy', 'NN'), 1)"
ABSTINENCE,"(('things', 'NNS'), 8)","(('abstinence', 'NN'), 7)","(('doing', 'VBG'), 6)","(('life', 'NN'), 6)","(('friends', 'NNS'), 6)","(('drugs', 'NNS'), 6)","(('way', 'NN'), 6)","(('that', 'WDT'), 5)","(('addiction', 'NN'), 5)","(('who', 'WP'), 5)","(('up', 'RP'), 4)","(('reward', 'NN'), 4)","(('what', 'WP'), 4)","(('sobriety', 'NN'), 4)","(('family', 'NN'), 4)","(('able', 'JJ'), 4)","(('ride', 'NN'), 4)","(('time', 'NN'), 4)","(('charge', 'NN'), 4)","(('one', 'CD'), 4)"
ACCOUNTABILITY / Amends,"(('amends', 'NNS'), 8)","(('going', 'VBG'), 8)","(('people', 'NNS'), 6)","(('detox', 'NN'), 4)","(('who', 'WP'), 4)","(('what', 'WP'), 4)","(('damage', 'NN'), 4)","(('behavior', 'NN'), 4)","(('how', 'WRB'), 4)","(('others', 'NNS'), 4)","(('friends', 'NNS'), 4)","(('addiction', 'NN'), 4)","(('done', 'VBN'), 4)","(('life', 'NN'), 3)","(('list', 'NN'), 3)","(('recovery', 'NN'), 3)","(('much', 'JJ'), 3)","(('that', 'WDT'), 3)","(('way', 'NN'), 3)","(('Making', 'VBG'), 2)"
ACCOUNTABILITY / De-blame,"(('using', 'VBG'), 3)","(('blame', 'NN'), 3)","(('life', 'NN'), 2)","(('recovery', 'NN'), 2)","(('responsibility', 'NN'), 2)","(('part', 'NN'), 2)","(('game', 'NN'), 2)","(('Ditching', 'VBG'), 2)","(('something', 'NN'), 2)","(('back-and-forth', 'JJ'), 1)","(('kept', 'FW'), 1)","(('victim', 'NN'), 1)","(('changing', 'NN'), 1)","(('※It', 'JJ'), 1)","(('being', 'VBG'), 1)","(('fault', 'NN'), 1)","(('why', 'WRB'), 1)","(('better', 'RBR'), 1)","(('given', 'VBN'), 1)","(('change', 'NN'), 1)"
ACCOUNTABILITY / Own up,"(('actions', 'NNS'), 7)","(('mistakes', 'NNS'), 7)","(('things', 'NNS'), 6)","(('someone', 'NN'), 6)","(('When', 'WRB'), 6)","(('responsibility', 'NN'), 6)","(('own', 'JJ'), 6)","(('time', 'NN'), 6)","(('accountable', 'JJ'), 5)","(('how', 'WRB'), 5)","(('making', 'VBG'), 5)","(('recovery', 'NN'), 5)","(('excuses', 'NNS'), 5)","(('people', 'NNS'), 5)","(('friends', 'NNS'), 5)","(('addiction', 'NN'), 5)","(('pain', 'NN'), 5)","(('hostility', 'NN'), 4)","(('who', 'WP'), 4)","(('when', 'WRB'), 4)"
ACCOUNTABILITY / damage confess,"(('been', 'VBN'), 16)","(('damage', 'NN'), 15)","(('life', 'NN'), 14)","(('addiction', 'NN'), 12)","(('friends', 'NNS'), 10)","(('drugs', 'NNS'), 10)","(('years', 'NNS'), 8)","(('hardships', 'NNS'), 6)","(('that', 'WDT'), 6)","(('up', 'RP'), 5)","(('how', 'WRB'), 5)","(('problem', 'NN'), 5)","(('done', 'VBN'), 5)","(('something', 'NN'), 5)","(('who', 'WP'), 5)","((""'s"", 'POS'), 5)","(('lot', 'NN'), 5)","(('others', 'NNS'), 5)","(('detox', 'NN'), 4)","(('wrong', 'JJ'), 4)"
AGONY,"(('depression', 'NN'), 6)","(('misery', 'NN'), 6)","(('that', 'WDT'), 5)","(('life', 'NN'), 4)","(('way', 'NN'), 4)","(('when', 'WRB'), 4)","(('more', 'RBR'), 4)","(('cravings', 'NNS'), 4)","(('addiction', 'NN'), 4)","(('one', 'CD'), 4)","(('day', 'NN'), 4)","(('unhealthy', 'JJ'), 3)","(('who', 'WP'), 3)","(('bad', 'JJ'), 3)","(('每', 'NNP'), 3)","(('own', 'JJ'), 3)","(('time', 'NN'), 3)","(('food', 'NN'), 3)","(('beautiful', 'JJ'), 2)","(('years', 'NNS'), 2)"
AMENDS,"(('amends', 'NNS'), 15)","(('making', 'VBG'), 6)","(('going', 'VBG'), 6)","(('people', 'NNS'), 6)","(('what', 'WP'), 5)","(('that', 'WDT'), 5)","(('mistakes', 'NNS'), 5)","(('others', 'NNS'), 5)","(('past', 'JJ'), 4)","(('when', 'WRB'), 4)","(('someone', 'NN'), 4)","(('damage', 'NN'), 4)","(('behavior', 'NN'), 4)","(('recovery', 'NN'), 4)","(('more', 'JJR'), 4)","(('one', 'CD'), 4)","(('something', 'NN'), 3)","(('Making', 'VBG'), 3)","(('list', 'NN'), 3)","(('things', 'NNS'), 3)"
ANGER,"(('anger', 'NN'), 14)","(('angry', 'JJ'), 5)","(('way', 'NN'), 5)","(('positive', 'JJ'), 4)","(('more', 'RBR'), 4)","(('feeling', 'NN'), 4)","(('Anger', 'NNP'), 4)","(('life', 'NN'), 3)","(('God', 'NNP'), 3)","(('When', 'WRB'), 3)","(('emotion', 'NN'), 3)","(('one', 'CD'), 3)","(('detox', 'NN'), 2)","(('angerexic', 'NN'), 2)","(('someone', 'NN'), 2)","(('time', 'NN'), 2)","(('heart', 'NN'), 2)","(('order', 'NN'), 2)","(('person', 'NN'), 2)","(('feelings', 'NNS'), 2)"
ANXIETY,"(('anxiety', 'NN'), 9)","(('situation', 'NN'), 6)","(('problem', 'NN'), 5)","(('more', 'JJR'), 4)","(('When', 'WRB'), 4)","(('exiled', 'VBN'), 3)","(('that', 'WDT'), 3)","(('pain', 'NN'), 3)","(('being', 'VBG'), 2)","(('program', 'NN'), 2)","(('life', 'NN'), 2)","(('problems', 'NNS'), 2)","(('God', 'NNP'), 2)","(('free', 'JJ'), 2)","(('rid', 'JJ'), 2)","(('normal', 'JJ'), 2)","(('panic', 'JJ'), 2)","(('solution', 'NN'), 2)","(('exiler', 'NN'), 2)","(('one', 'CD'), 2)"
