RAW,CATS,WELLGOS,FOCUS,N,GENDER
" During the deep trenches and darkness of my addiction, my reward was my drug. The reward was usually an immediate one, as I was able to completely numb myself from the feelings, thoughts, people, and situations around me that caused my inner, unbearable pain. The problem, though, Was that I had created a severely unhealthy reward system……one that Reminds me of a Never-ending carousel ride, having my disease as the entity in charge of the controls. As the ride slowed down one day, I was able to jump off…to escape.   The once Dreadful carousel that I was on is no longer existent. Today I am in charge of the ride that I take. I am in charge of my actions and my decisions. Most importantly I am in charge of my abstinence and my road to recovery. The reward system I have built today  Provides me with the encouragement. This encouragement fuels my sobriety. Everyday that I go without using me reward myself with looking in the mirror and telling myself what a genuinely good and selfless human being me am. I deserve to be rewarded for each milestone I reach because this cunning disease is relentless. For my personal accomplishments during my recovery, I reward myself with a trip to the movies, or dinner with friends.   Today I am able to do things that embrace relaxation, and these moments of meditation, are the Rewards that I deserve, look forward to, and love.","ABSTINENCE,SELF ESTEEM / deserve & rewards","Abstainer Amazer,Inner Power Allower,Self Esteem Elixir,Sober Selfie",DRUGS/ALC,Jen,female
I’m scared. I’m nervous. I’m out of my element. But I’m here for my recovery. My only requirement for membership of these groups is to have the willingness and strength to stop using. My first meeting — I made it! I am proud of myself for taking this gigantic step towards my recovery. I have the ability to change. The desire to change. And these meetings and groups help me make this change a reality.,"FEAR,COMMUNITY / Meetings & groups,BABY STEPS / Help & support,CHANGE / courage","Fear Flusher,Braverade,Progress Pollinator,Ever Evolving Flower",DRUGS/ALC,Jen,female
"What safeguards my sobriety? My courage. My honesty. My willingness to admit that I am powerless over my addiction. I realize that remaining clean and sober is hard work. But I also realize that juggling all the problems caused by using is even harder work. The fact is, temptations will never really go away. And what safeguards me is my awareness of this fact. Today I am able to acknowledge that my best decisions in my past got me to where I am today. I have no intention of returning to that dark place, where temptations ruled over me. Today these realizations enable me to stay focused on my recovery. To remain clean and sober, I am able to change all people, places, and things. These are my safeguards for sobriety. The thought of living the rest of my life sober sounds like a terrifying and impossible feat. But I don’t have to ponder the rest of my life. I can live in this moment, this hour this day. Just for today. Trying to control things I can’t control is a threat to my sobriety. I am as dedicated to my recovery twice as much as I was dedicated to getting high. (Dedication doubler) This dedication is safeguarding my sobriety.","POWERLESSNESS,SOBRIETY / maintaining & will power,SELF ESTEEM / courage,TRUTH / Admit addiction","Power Shower,Sobriety Soulmater,Deep Down Diver",DRUGS/ALC,Jen,female
"The most powerful force of nature seems like denial. I wake up every morning and look in the mirror. I see the eyes of addiction, lips of addiction, a body of addiction. But my courage to confess is motivational. I am no longer ashamed. I am free in my honesty. Free to love myself for who I am and addiction is a part of me. I will never look down on myself 4 having this illness. I accept who I am, therefore, I accept that I am a recovering addict. I am becoming someone who loves themselves, every single part. Facing my addiction includes feeling emotions I use to cover up. Today I am willing to face these fears. Looking my addiction right in the eye has the potential to expose some frightening realizations. But I am ready. Today I am strong.The very first step is admitting to myself that I am powerless over it. By admitting this, I know that drugs/alcohol never worked for me, and they are no longer a part of my life. I understand their power and I am worthy of change. Today I say goodbye to all people, places, or things that threaten my sobriety.","INNER POWER / Vulnerability,CONFESSION / powerlessness,WORTHINESS / self love & acceptance,FREEDOM / past & let go","Braverade,Inner Freedom Forager,Addiction AMF’r,The Dynamotivator,CLOSET CONFESSOR / Admit addiction",DRUGS/ALC,Jen,female
"Rather than use when I have the urge, I am now shifting gears. exploring healthy alternatives that support my recovery. Going to a support group meeting is a great way to explore my alternatives to drugs/alcohol/ getting high. I am open to receiving this help. I am tempted to use, and intend on reaching out to others that share this same illness. My alternative to using is to listen to people who have more recovery than I do. Exploring my alternative allows me to explore other ways to cope with my temptations. When I reach out to others in recovery, I feel powerful, supported, understood and capable of staying clean. I know that alternatives exist when it comes to my addictions. Today I see myself exploring healthy, beneficial ones.","BEHAVIOR,HABITS,COMMUNITY / Meetings & groups,URGES / support & help,PROGRESS / start small","Growth Gardener,Bad Habit Butcher,Urge Purger,Journey Jazzer,New Pattern Painter / confidence & awareness",DRUGS/ALC,Jen,female
"Well, when I receive bad news, I — I realize this news is bad, but I refuse to grant it that much power, as it consumes me and affects my sobriety. My perception of this news does not have to be bad or negative. I trust my inner wisdom and intuition. Today I accept that receiving bad news is a part of life, but I am not allowing those things have power over my life. I am ultimately in control of how I react. Some feelings simply cannot be avoided, especially when hearing something that is shocking, scary or even devastating. How I respond to these feelings is critical to my recovery, and no matter what news I receive, it is not strong enough to overcome my willingness to stay sober.","INNER POWER,REACTIONS,INNER POWER / Self control & willpower","Stress Striker,Worry Washer,Soul Controller,Reactions Auditor,Manic Massager",DRUGS/ALC,Jen,female
"I now hold the power to plan for recovery by anticipating and acknowledging my triggers. I will face battles, but these will not weigh me down and deter my recovery. I will never revert back to throwing in the towel and succumbing to this disease. Inspiration is flowing through every cell in my body, and I am continuously developing new strategies to prepare for these battles, because in the end, I am winning the war on addiction. I realize that it is difficult and confusing to manage my recovery sometimes, but I'm learning more and more about it and doing my best.","TRIGGERS / awareness,INNER POWER / Tools,CHANGE / courage","Inner Power Allower,Abstainer Amazer,Trigger X’r,Mighty Motor Cranker,Fear Dancer",DRUGS/ALC,Jen,female
"I recognize that I have shifted the blame on my loved ones, blaming them for my using. Today I know that I only have myself to blame for my actions. Shifting the blame on others will result in a threat to my recovery because I am allowing myself to play a victim when I am a victim no longer. When I take responsibility I am embracing my power. Today I will not take on this toxic mindset. My peace of mind is within my ability to take responsibility for everything that is within my power to control and to change. Shifting the blame on others use to be part of my daily thoughts; however, today I don’t shift the blame, and I choose to take accountability.","BLAME,RESPONSIBILITY,AMENDS,RECONCILIATON,ACCOUNTABILITY / De-blame","Victim Vanquisher,Blame Changer,The Deblamer,Responsibility Rippler",DRUGS/ALC,Jen,female
"Rebooting my brain is possible, and it starts with embodying that I am powerless over my addiction. I have many beliefs that are tied to my old drug seeking habits, but today I am working on replacing those with ones that are conducive to my sobriety.","POWERLESSNESS,THOUGHTS,CHANGE / beliefs","Power Pooper,Brain Unchainer,Mentality Mender,NeuroTuner,Belief Superseder",DRUGS/ALC,Jen,female
"My personal goals require building bridges that are leading me to my happiness and success. In the past, I put up walls. Now, I have torn them down and replaced them with bridges. These bridges are leading me to a newfound success and feelings that drive me to continue on my path of recovery. Building new Bridges is an incredible experience, and some are still a work in progress. I rely on these bridges to provide a safe, promising path of recovery and abstinence.","HABITS,CHANGE / action & behavior,GROWTH / goals & future","Brick Wall Snowballer,Sobriety 101'r,Void Avoider,WAIT AND SWITCH / Progress",DRUGS/ALC,Jen,female
